Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Afghanistan,Central Asia,9.5,13.69,9.1,11.42,142.08,62.6,Measured,100,Journal of Urology (mentioned in 2011),1.441052632,1.254945055,2.269648562
Albania,Europe,9.8,14.19,9.7,12.16,166.97,73.38,Self reported,95,Journal of Sexology 2006,1.447959184,1.253608247,2.275415645
Algeria,Africa,9.9,14.49,8.9,10.97,138.76,62.4,Self reported,738,https://www.surveymonkey.com - 2015,1.463636364,1.23258427,2.223717949
Angola,Africa,10,15.73,9.6,11.82,174.89,73.34,Measured,978,University Agostinho Neto 2001,1.573,1.23125,2.38464685
Argentina,South America,9.4,14.88,8.9,11.45,155.24,59.25,Self reported,1669,Journal of Urology 2013,1.582978723,1.286516854,2.620084388
Armenia,Europe,10.5,13.12,8.6,10.78,121.33,61.8,Measured,469,Ուրոլոգիայի Առողջության  Պահպանման Ծառայություն Armenia - 2015,1.24952381,1.253488372,1.963268608
Australia,Australia,10,15.7,10.5,13.22,218.35,87.73,Self reported,1638,Smith et al. 1998 Does penis size influence condom slippage and breakage?,1.57,1.259047619,2.488886356
Austria,Europe,11.7,14.69,9.7,12.1,171.15,87.6,Self reported,547,https://www.surveymonkey.com - 2015,1.255555556,1.24742268,1.953767123
Bahrein,Western Asia,8.8,12.93,8.6,11.19,128.84,51.79,Self reported,492,https://www.surveymonkey.com - 2015,1.469318182,1.301162791,2.487738946
Bangladesh,Southeast Asia,8.2,11.2,8.1,10.48,97.89,42.81,Measured,200,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.365853659,1.29382716,2.286615277
Belarus,Europe,11.2,13.98,9.1,11.38,144.07,73.81,Measured,100,Journal of Urology (mentioned in 2011),1.248214286,1.250549451,1.951903536
Belgium,Europe,12.1,15.14,10.6,13.26,211.84,108.19,Self reported,875,Universitair Ziekenhuis Antwerpen - 2015,1.251239669,1.250943396,1.958036787
Belize,Central America/Caribean,10.9,15.75,10.1,12.87,207.6,88.48,Measured,68,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.444954128,1.274257426,2.346292948
Bhutan,Asia,8.1,11.12,8.3,10.31,94.06,44.4,Measured,147,Genital size measure survey 2015,1.372839506,1.242168675,2.118468468
Bolivia,South America,9.2,14.7,8.8,11.31,149.63,56.69,Measured,647,Sociedad Boliviana de Urología - 2015,1.597826087,1.285227273,2.639442582
Bosnia and Herzegovina,Europe,12.2,15.27,9.6,12.08,177.32,89.47,Self reported,618,Genital size survey 2015 (http://genitalsize.com),1.251639344,1.258333333,1.981893372
Brazil,South America,9.9,15.7,10.2,12.99,210.82,81.96,Measured,2600,Pedro N. Gabrich; Juliana S. P. Vasconcelos; Ronaldo Damião; Eloísio A. da Silva 2007,1.585858586,1.273529412,2.572230356
Bulgaria,Europe,11.7,14.66,9.3,11.69,159.42,80.53,Measured,930,Tomova A et all. 2010 Growth and development of male external genitalia (17 to 19),1.252991453,1.256989247,1.979634919
Burkina Faso,Africa,10.3,15.19,9.8,12.18,179.33,78.72,Self reported,273,Genital size survey 2015 (http://genitalsize.com),1.474757282,1.242857143,2.278074187
Cambodia,Southeast Asia,7.2,9.84,8.6,11.12,96.83,42.38,Measured,112,https://www.surveymonkey.com - 2015,1.366666667,1.293023256,2.284804153
Cameroon,Africa,10.6,16.65,9.9,12.29,200.13,82.67,Self reported,421,African Journal of Urology 2003,1.570754717,1.241414141,2.420829805
